영업일자,상품명,판매건수
2024-01-01,하이네켄,15
2024-01-01,카스,45
2024-01-01,콜라,22
2024-01-01,에비앙,19
2024-01-01,컨디션,4
2024-01-01,믹스넛,7
2024-01-01,치솔,37
2024-01-01,치약,29
2024-01-01,면도기,9
2024-01-01,양말,2
2024-01-01,고객용 베개,4
2024-01-01,고객용 이불(퀸),1
2024-01-01,고객용 이불(싱글),1
2024-01-01,세면용품세트,2
2024-01-01,게토레이(캔),5
2024-01-01,아리랑 캔맥주 세트,1
2024-01-01,커버(베개),1
2024-01-01,커버(퀸),1
2024-01-01,칸타타(카라멜),1
2024-01-01,로리나(핑크),2
2024-01-01,로리나(레모네이드),2
2024-01-01,랭거스(망고),1
2024-01-01,랭거스(자몽),1
2024-01-01,모구(복숭아),3
2024-01-01,커널스팝콘,4
2024-01-01,신규하이하우50cm,2
2024-01-02,하이네켄,1
2024-01-02,카스,34
2024-01-02,콜라,12
2024-01-02,에비앙,11
2024-01-02,컨디션,1
2024-01-02,믹스넛,10
2024-01-02,치솔,33
2024-01-02,치약,22
2024-01-02,면도기,7
2024-01-02,양말,5
2024-01-02,고객용 베개,3
2024-01-02,고객용 이불(퀸),1
2024-01-02,직원용 이불(싱글),2
2024-01-02,세면용품세트,37
2024-01-02,게토레이(캔),6
2024-01-02,아리랑 캔맥주 세트,1
2024-01-02,모구(복숭아),1
2024-01-02,토레스감자칩,1
2024-01-02,폴란드 이불(퀸),3
2024-01-02,폴란드 이불(싱글),0
2024-01-02,(30cm)인형_파랑,1
2024-01-03,카스,44
2024-01-03,콜라,12
2024-01-03,에비앙,3
2024-01-03,컨디션,2
2024-01-03,믹스넛,11
2024-01-03,치솔,35
2024-01-03,치약,19
2024-01-03,면도기,3
2024-01-03,양말,4
2024-01-03,고객용 베개,1
2024-01-03,세면용품세트,42
2024-01-03,게토레이(캔),3
2024-01-03,스타벅스(파이크),1
2024-01-04,카스,19
2024-01-04,콜라,5
2024-01-04,에비앙,3
2024-01-04,컨디션,1
