영업일자,영업장명,상품명,상품영문명,할인구분여부,판매수량
2024-01-01,In Room Dining(K),(VIP) A/C1,A. Cheese(VIP),N,8
2024-01-01,In Room Dining(K),(VIP) F/C2,A.Fruits((VIP),N,8
2024-01-01,In Room Dining(K),(VIP) F1,F1(VIP),N,6
2024-01-01,In Room Dining(K),(컨)간고등어구이정식,Grilled Salted Mackerel,N,5
2024-01-01,In Room Dining(K),(컨)계절과일과 모둠치즈,Fresh Fruits & Assorted Cheeses,N,4
2024-01-01,In Room Dining(K),(컨)공기밥,Steamed Rice,N,15
2024-01-01,In Room Dining(K),(컨)김치찌개,Kimchi Stew,N,8
2024-01-01,In Room Dining(K),(컨)낙지볶음과 소면,Octopus with Nooldle,N,6
2024-01-01,In Room Dining(K),(컨)비프 머쉬룸 마샬라,Beef Mushroom Marsala,N,1
2024-01-01,In Room Dining(K),(컨)아이스커피,Ice Coffee,N,1
2024-01-01,In Room Dining(K),(컨)안심크림 스파게티,Creme di Manzo,N,3
2024-01-01,In Room Dining(K),(컨)오렌지주스,Fresh Orange Juice,N,5
2024-01-01,In Room Dining(K),(컨)전복 된장찌개,Baby Abalone & Black Soybean,N,2
2024-01-01,In Room Dining(K),(컨)찹스테이크,Beef Tenderloin Chop Steak,N,4
2024-01-01,In Room Dining(K),(컨)커피,Coffee,N,1
2024-01-01,In Room Dining(K),(컨)토마토 스파게티,Pomodoro di Mare,N,3
2024-01-01,In Room Dining(K),(컨)한국식 조찬,Korean Breakfast,N,12
2024-01-01,In Room Dining(K),(컨)한우버섯 불고기정식,"Korean Beef ""Bulgogi""",N,3
2024-01-01,In Room Dining(K),(컨)해산물 빠에야(P),Langosta Seafood Paella,N,6
2024-01-01,In Room Dining(K),(컨)활 전복죽,Rice Porridge with Abalone,N,3
2024-01-01,In Room Dining(K),(컨)활전복 보양탕,Medicinal Mushroom & Abalone Health Soup,N,3
2024-01-01,In Room Dining(K),(컨)후라이드 닭다리살과 오징어튀김,Fried Chicken Thighs and Fried Whole Calamari,N,6
2024-01-01,In Room Dining(K),1340 샴페인(프랑스),1340 Champagne,N,1
2024-01-01,In Room Dining(K),1340문배주,Munbaeju,N,4
2024-01-01,In Room Dining(K),간고등어정식,Grilled Salted Mackerel,N,6
2024-01-01,In Room Dining(K),계란후라이,Fried Eggs,N,15
2024-01-01,In Room Dining(K),곤드레 돌솥보리밥,Stone Cooked Barley Rice in Gondeure Soybean,N,5
2024-01-01,In Room Dining(K),공기밥,Steamed Rice,N,41
2024-01-01,In Room Dining(K),기본 1찬,Side Dish 1kind,N,2
2024-01-01,In Room Dining(K),김추가,,N,2
2024-01-01,In Room Dining(K),김치찌개,Pork and Kimchi Stew,N,27
2024-01-01,In Room Dining(K),꽃등심스테이크,Grilled Beef Rib-eye Steak with Red wine sauce,N,1
2024-01-01,In Room Dining(K),낙지볶음소면,Sauteed Small Octopus with Noodles,N,9
2024-01-01,In Room Dining(K),더덕 흑돼지구이,Grilled Black Pork and Deodeok,N,7
2024-01-01,In Room Dining(K),더덕주,Deodeokju,N,3
2024-01-01,In Room Dining(K),랑데 뷰 프리미어 까베르네 시라(레드/프랑스),Rendez Vous Premier Cabernet Sauvignon,N,2
2024-01-01,In Room Dining(K),모둠 계절과일,Platter of Various Fresh Fruit,N,9
2024-01-01,In Room Dining(K),비프 머쉬룸 마샬라,Beef Mushroom Marsala,N,1
2024-01-01,In Room Dining(K),산야초 은갈치조림,Braised Cutlassfish,N,6
2024-01-01,In Room Dining(K),생선구이(1인),Grilled Fish(Per Person),N,1
2024-01-01,In Room Dining(K),설중매,Seoljungmae,N,4
2024-01-01,In Room Dining(K),소등심 가지볶음,Stir fried Beef Sirloin,N,1
2024-01-01,In Room Dining(K),소면사리,Thin Noodles,N,1
2024-01-01,In Room Dining(K),신해탕(P),Spicy Offal Soup,N,2
2024-01-01,In Room Dining(K),아이스커피 ,Ice Coffee,N,8
2024-01-01,In Room Dining(K),안심 크림소스 스파게티,Beef Tenderloin Spaghetti,N,5
2024-01-01,In Room Dining(K),안심스테이크,Tenderloin Steak,N,2
2024-01-01,In Room Dining(K),약선 활전복 보양탕,Medicinal Mushroom & Abalone Health Soup,N,5
2024-01-01,In Room Dining(K),일품진로,Super Premium Soju,N,3
2024-01-01,In Room Dining(K),전복 된장찌개,"Baby abalone &Black soybean, Bean paste soup",N,12
2024-01-01,In Room Dining(K),찹 스테이크,Beef Tenderloin Chop Steak,N,2
2024-01-01,In Room Dining(K),커피,Coffee,N,3
2024-01-01,In Room Dining(K),콜라,Coke,N,3
2024-01-01,In Room Dining(K),특별해장국(떡만두국),Daily Special Korean Soup,N,25
2024-01-01,In Room Dining(K),포기김치,Kimchi,N,1
2024-01-01,In Room Dining(K),하겐다즈 미니컵,Haagen-Dazs Mini Cup,N,3
2024-01-01,In Room Dining(K),하우스1340 (R),House Red Wine,N,3
2024-01-01,In Room Dining(K),하우스1340(W),House White Wine,N,2
2024-01-01,In Room Dining(K),하이원 비프 치즈 버거,Beef Cheeseburger with Sloppy Joe,N,6
2024-01-01,In Room Dining(K),한국식 조찬,Korean Breakfast,N,17
2024-01-01,In Room Dining(K),한식국,Korean Soup,N,1
2024-01-01,In Room Dining(K),한우 불고기 정식,"Traditional Korean Beef ""Bulgogi"" Pan-fried",N,9
2024-01-01,In Room Dining(K),해산물 빠에야(P),Langosta Seafood Paella,N,5
2024-01-01,In Room Dining(K),해산물 토마토스파게티,Seafood Spaghetti with Tomato Sauce,N,6
2024-01-01,In Room Dining(K),활전복죽,Abalone Rice Porridge,N,4
2024-01-01,In Room Dining(K),후라이드 닭다리살과 오징어튀김,Fried Chicken Drumstick and Grilled Sausage,N,6
2024-01-02,In Room Dining(K),(VIP) A/C1,A. Cheese(VIP),N,2
